"Beskrivelse","Kode","Kategori"
"Funktion der returnerer en værdi","def add(a, b):\n return a + b","functions"
"Opret en liste","students = ['Hermione', 'Harry', 'Ron']","lists"
"Loop gennem en liste","for s in students:\n print(s)","lists"
"Tilføj element til listen","mylist.append(5)","lists"
"Tilføj flere elementer","mylist.extend([1, 2])","lists"
"Fjern specifik værdi","mylist.remove('A')","lists"
"Fjern sidste (eller bestemt) element","mylist.pop()","lists"
"Antal forekomster af værdi","mylist.count(3)","lists"
"Indeks for en værdi","mylist.index('hej')","lists"
"Gør første bogstav stort","'hej'.capitalize()","strings"
"Gør hele strengen småt","'HEJ'.lower()","strings"
"Gør hele strengen stort","'hej'.upper()","strings"
"Fjern whitespace (mellemrum)","' hej '.strip()","strings"
"Erstat tegn","'hej'.replace('h', 'j')","strings"
"Find position af et tegn","'hej'.find('e')","strings"
"Opret dictionary (nøgle/værdi-par)","d = {'navn': 'Bach'}","dict_tuple"
"Gennemløb nøgler og værdier","for k,v in d.items(): print(k, v)","dict_tuple"
"Tuple-opdeling (unpacking)","a, b = (1, 2)","dict_tuple"
"Tuples er uforanderlige","t = (1, 2, 3)","dict_tuple"
"Åbn og skriv til en fil","with open('fil.txt', 'w') as f:\n f.write('hej')","files"
"Åbn og læs fra en fil","with open('fil.txt') as f:\n indhold = f.read()","files"
"Læs linje for linje","for linje in f:\n print(linje)","files"
"Opret en klasse","class Hund:\n def __init__(self):\n  self.navn = 'Fido'","classes"
"Opret et objekt","minhund = Hund()","classes"
"Brug objektets metode/attribut","print(minhund.navn)","classes"
"Beregn rest ved division (modulus)","10 % 3","classes"
"Brug modulus til at tjekke fx ulige","if x % 2 != 0:","classes"
"Centrer en streng","center()","strings"
"Tæl forekomster af en værdi","count()","strings"
"Returnér en kodet version","encode()","strings"
"Tjek om strengen ender med noget","endswith()","strings"
"Indstil tabulatorstørrelse","expandtabs()","strings"
"Formater streng med værdier","format()","strings"
"Formater streng med map","format_map()","strings"
"Find indeks for værdi","index()","strings"
"Tjek om alle tegn er alfanumeriske","isalnum()","strings"
"Tjek om alle tegn er bogstaver","isalpha()","strings"
"Tjek om alle tegn er ASCII","isascii()","strings"
"Tjek om alle tegn er decimaler","isdecimal()","strings"
"Tjek om alle tegn er cifre","isdigit()","strings"
"Tjek om streng er en identifier","isidentifier()","strings"
"Tjek om alle tegn er små bogstaver","islower()","strings"
"Tjek om alle tegn er numeriske","isnumeric()","strings"
"Tjek om alle tegn kan printes","isprintable()","strings"
"Tjek om alle tegn er mellemrum","isspace()","strings"
"Tjek om strengen er i titel-case","istitle()","strings"
"Tjek om alle tegn er store bogstaver","isupper()","strings"
"Saml elementer i iterable til streng","join()","strings"
"Venstrejustér streng","ljust()","strings"
"Fjern mellemrum til venstre","lstrip()","strings"
"Returnér oversættelsestabel","maketrans()","strings"
"Opdel i tre ved separator","partition()","strings"
"Find sidste forekomst af værdi","rfind()","strings"
"Find sidste indeks for værdi","rindex()","strings"
"Højrejustér streng","rjust()","strings"
"Opdel i tre fra højre","rpartition()","strings"
"Split ved separator fra højre","rsplit()","strings"
"Fjern mellemrum til højre","rstrip()","strings"
"Split ved separator","split()","strings"
"Split ved linjeskift","splitlines()","strings"
"Tjek om strengen starter med noget","startswith()","strings"
"Byt store og små bogstaver","swapcase()","strings"
"Gør hvert ord til titel-case","title()","strings"
"Returnér oversat streng","translate()","strings"
"Udfyld med nuller i venstre","zfill()","strings"
"F-streng med heltal (standard)","f'{216}'","strings"
"F-streng med heltal og decimalformat (d)","f'{216:d}'","strings"
"F-streng med bredde på 5","f'{216:5d}'","strings"
"F-streng med ledende nuller og bredde 5","f'{216:05d}'","strings"
"F-streng konverter heltal til float (f)","f'{216:f}'","strings"
"F-streng med float og decimalformat (d) - fejl","f'{pi:d}'","strings"
"F-streng med float (standard)","f'{pi}'","strings"
"F-streng med float og fast notation (f)","f'{pi:f}'","strings"
"F-streng med 2 decimaler (.2f)","f'{pi:.2f}'","strings"
"F-streng med bredde 8 og 2 decimaler (8.2f)","f'{pi:8.2f}'","strings"
"F-streng med bredde 8, 2 decimaler og ledende nuller (08.2f)","f'{pi:08.2f}'","strings"
